mint_address,meta_address,meta_name,meta_uri,inmate_number,image_uri,genesis_order
9vNVjPoSqSfzGniVx7vgD3gxKWTpxmS58YEs8iYvQZet,B6iS8Nd6L3dw3io8JxXpVmwFcPMTss8NVL2j268nn8fL,"Degen Ape #5647",https://arweave.net/2V6ms3O21-LajREo_C9vgn6iMEgWLsckOE0OikGa_xc,5647,https://arweave.net/QeIRgAfUJ5_FqZleRTR7rmtd3LSEvJdeZs05a9GYFrg,323
D194ieX1uXYTFNWGnxD7jgzGZUzbuGM2FVRwyUYtGqLd,2NHNyof3SodBvCbS6zETRgkDD6ah8tUkLHhCnvmGCjYQ,"Degen Ape #8487",https://arweave.net/qsQoLF0wQ9aZ7w5Kjm2kaocoq03TrDXcPkTesVoiA8k,8487,https://arweave.net/O5anSAk1qsWulXc9fsWh1ZbBavQR9ICfFC0tkxW-WvA,324
8fg1uazBSmYnHUjKDoUuqRHTSKcxccfcN6embQoZ1Wvw,3bSwxPVU1EH1BZPcUtqLZzFMJUq5jrkdXkhH8hqGaVWL,"","","","",326
7Euwt13H1TqCkMVYRqqTh9LpKS22zoYjDrbcfUVFYwz5,BUCrwkH6vyA23boQ9C43z3TpvSQHYRF8whDywKdHq92a,"Degen Ape #1176",https://arweave.net/vNSHp8IZWh--X-rX7SNdBInMy7tdMCd0wNXuPQUjclA,1176,https://arweave.net/3meDMyNFm9hy9bG0in0DLZQWIuu3YhyR1ai0vWQitig,331
Hv9eL8yYAp5acqBeHUgjzHevq2Nisj1qgEMEUpUVZnaP,7Pru8cZJtp925Ma9tpFi1dJbkvjnqWT7oa5BrXCcPBuS,"Degen Ape #2414",https://arweave.net/y-vvz-4EwgKJvDT8XHxrRAzUgyOm76-RMs_5_YF60Jg,2414,https://arweave.net/v6Noz5VEt6wrdG0Un-S1C6s90xuWRPeTqVEDuyBxKtA,332
ESAEiVB4wuhzVnHTuRvNVxLZS9LcMcRGUUCkxqc4wFEu,rq6XEVEtGoondAYyZ2EYk8qnKSNovRb9Y9eoDH9D2we,"Degen Ape #693",https://arweave.net/BUAje9GfeHayOu4nLAb7uUJ5bHh5-HjnfHNyTk_-fpo,693,https://arweave.net/5m9celoDJGPlio3qG6B7rYZCeH9q_RfMVhpJJYwGz_Q,337
28NkSvnqhFuHfgDXHdrBCohFbyqwL6FpfzjYWTXcq6jC,3yrX2ntQKCz54BmSms5rPw7azrFoq8Ez1pFDZtgRZZUc,"Degen Ape #7452",https://arweave.net/EktElatu9xLA_1tdRjFdOeUJB_xMvqBIZUyM57BllPc,7452,https://arweave.net/lIrjBFrMS1qt9Xj9T-QtxO-Q0Bqszr4MMiz8HJKrkyw,338
36gmrwDRYsWHUb3G7BhiBSudibHDvEdTutot8yCipSLs,6NEGUW6y4uyxweWvKAATsBv41v9ifyrhhQJxucc9a4ZY,"","","","",340
HtCrznHDpjV9v5N1RGMnCTzQFZTrwFzD5EaewJvkWYU3,2i17noVV8QcDfTkD1v9tDjzDBLNzhvWZKrJDgP2FhfJx,"","","","",343
DQrvFuZrvtYbHD2gEdHu1NCJJksRNUBgm4RTeikeuaJq,BYpkKf5X128t3vgGfttkiSHdorA5txEUGu5HGz6PHiSe,"","","","",344
