mint_address,meta_address,meta_name,meta_uri,inmate_number,image_uri
2rchDsqDLc5pynsRFfCEKy2hwj2gStfhrozqin2QKrBJ,HnN1cqnwr7CQAvKtAZ1idkNQKU9NhBqA13zMXhxCHejc,"ExiledApe 516/518",https://arweave.net/fJTeqZs0MvyzaopxvN4nEijLP83aHUuadB-tPdq-vHk,5716,https://www.arweave.net/-Lmbbl23bUTRrJrtZyauUCgr8HaB2F6W_EOfZZEsU5M?ext=png
2s4JTmBJeNhbUX7BfAZ989Ht9qv8e85KA5wvLob6PaRD,99DhTczTxAXDJ72958qsjVgpvTT4Y6Ximm8TDmCapBSC,"ExiledApe 82/518",https://arweave.net/8jYlqV4YYvdXLzfLdo0_XHKLjEL2bcscWEnG9LznqLE,9070,https://www.arweave.net/Zho0azEbkl5z4QRaRF5zkMKGu3AZX3PsJ256GF7YCZ4?ext=png
2sTJrm1H23XREALufYEae6g1Vj6PcQUaN7r9Tfp4rNvL,9pnYeW7JEC697YfR9ioDMLpM4wD6vw9NuttDF6L71WNM,"ExiledApe 124/518",https://arweave.net/wDEK7Pd7_jTT4eX8-FLwmCG6Uf-ttM0jmUDOtQAmBPc,5915,https://www.arweave.net/9nGUyBwcFl9G7_HAC4Ml7w8qORrj3khOt60WpIJ2qVY?ext=png
334yUsNq1yqKnWUFbCHjfLk51XZZf1FoaEhoXSm72wao,3GQXnuE1bBNvN1JiN6USNuDnjcV3qPGaUKjN5yBj3wSu,"ExiledApe 306/518",https://arweave.net/vdfezi3XNbga0EnLRuMSNpwchU3j-SqnU5sPEQb8OHA,3769,https://www.arweave.net/zqgjAiqtDYUxyapAhv07CGph95zVKpz_gsMY_qpwxW4?ext=png
3CV5jBuZPBgy86i8qYY1TPFT4mqoCEFmY3pfj8rFf54P,E4gJjuLWT3ZRvEfhTNxYfdCcumytnXYHoKrcfSGSizdZ,"ExiledApe 68/518",https://arweave.net/L2bZMsRUifaNob2FSlIe3K6qasNaYK8CVAgSE_YrSgE,7046,https://www.arweave.net/Aoqj5PhORAA47q2HV5eTWEPG4Uiq6YC78deGZ36ObA4?ext=png
3G3cegKiGt7AU6ApRfo9heusuFN7CCsDJXyieunbirfV,HSYGZyfrLaNvHzQgpezABXcLwxfygmeWoCxW9k21zDKK,"ExiledApe 438/518",https://arweave.net/Mebt0U0VgonUSm9qUwxr7X-A2vRfoOPlU_X5-rdnW2Q,8272,https://www.arweave.net/tCqgQ0WvpM4V64fKqWS1y-05cmxCLzTaVktkSlK2JVY?ext=png
3GFEmG32PdzgMRGTPNxLSCa7ChP9Lq37FkB3hRytgMYb,2ArxEJqGsqJ5192iCvKaftYi4nac7Yw8tmnZiEqRPD8Z,"ExiledApe 467/518",https://arweave.net/l5h2W7WqjRfJv7e-KCDzZgCAvwCh4clBlOSWFHyZ97o,6576,https://www.arweave.net/VdwXvYC9tL-54NkelC4eJxYmZiWCy-2MkUNBGCiO8bw?ext=png
3GJWQix3C6nziYGmkGr7DyEhGYG2SXCKpQB7TWigorgo,4M7E3XdJ51wQfK6Q63wn9Z5FSr1Qc4wQV2GDpX738h6k,"ExiledApe 485/518",https://arweave.net/Ino9Gur2fu7G_eGAW82TiKaRS4uImXNITCLOQUN2_lQ,5476,https://www.arweave.net/qNURl3YJ9RHjkFOi_QI4DPvRUZYjLrkwBS7h_c7uW-0?ext=png
3GvPE3VTLfXtUhgdUfa8ZuNstgHH2jwqhhojMvErQvow,62cSareZ4V3KoajJBf68dKyMLeqQHdRDmEpJtXxYjKpE,"ExiledApe 376/518",https://arweave.net/vgW0ztRlvAI_1Ez3ULSamupQjqb8_Xl-1Isex1na2cI,8868,https://www.arweave.net/c55aqmY7qNoAdgqzKxf0H-MfwZQiPRaXjC_A-lvMgQw?ext=png
3H3gbnrq1cM2zoxMPGkn8kLR957F2wgVB5uebes9CqeL,9pVDE18LXPFZpT1XJxtw7USjmcy3sBYebnqgHyrkwKaD,"ExiledApe 1/518",https://arweave.net/WTciXEN6excG7Gucq-5xJH6e10iEVMDVJb2jgjdwugg,1594,https://www.arweave.net/ho3MEG_M2GJMBwgH52W-caKUoxdZM_27_RnvEeiXCdc?ext=png
3HXKiVJkRkY71VGM7gvoqm4BNm82xEFkYBAazNhXdD5b,9PfchgLXDTNUQW29Sm9hsE9zXfyVXWSKkkhtw7P3GsaV,"ExiledApe 313/518",https://arweave.net/ca9e_w61qoBwYZPwaafkZQanVPaJv4QhaHz-LxsbtBc,7618,https://www.arweave.net/cqj4C_iFlWedOlHe8BH7pQlvgMNEd_oxAKmC71rXYvk?ext=png
3KfDrPbhNvoPkrn3UwwwRWWU83mqDHvkn4aCriq93uaj,GhfsYSMYjdzvuPKCtiYATibH7mX5cWMNxkC91gThQune,"ExiledApe 499/518",https://arweave.net/YPBEa4Wgywgg9Y9sJ-EFpxplK71a-BnLEC_ze1Kvck4,6583,https://www.arweave.net/dpxYHBMvtLiyOyMIAp8wBvJ3_M1RoGt5Nqp9E1OatlQ?ext=png
3LqjPkotNcN2USuZNbpGN5LtZPaoJgEhsH9daTgXxQuJ,CE8wtHcAqRP2rrkXA8gyp6ge9wL17nvJ2KNGndwMbtzu,"ExiledApe 352/518",https://arweave.net/HzNZgXRmbONZWB8ql_7IXJ4Wo3bCx8A850yz3zMWLIU,3584,https://www.arweave.net/G5efo44km81AdwZjTDxcVwwhnWO7yMiSV1yQTWu-UGs?ext=png
3PiAD3EMXgRYoeFMWSmZFXXVs8CYz8wUcRFtY4jdf9rk,C6QEKh2CVqakjrFNDymihyTBEbtVj7VkLeAXAfm1ZQxg,"ExiledApe 391/518",https://arweave.net/1UlfBUMlC-QvlfdjKBPLSIuCz_owU06ZkM1OrK4v-aw,3494,https://www.arweave.net/lrlvMsUbneV5t8LWkHtXgcplHnr1odbMDnPLHdvJzVw?ext=png
3U6jmZUpPu6MrgohaZKpGRSRm3fj5xpwYwASdnz5X7KP,ECi81gQCEQgGwC5AkdXww5gaVtHeZAECCizK7vjb5WXX,"ExiledApe 406/518",https://arweave.net/3rcgX4CyjASAyOWF-CwXrREmTbMC51dwoAi7cWwmA54,4235,https://www.arweave.net/lQzYr_b_wmjc7lGSOzb12bMpSBU9boG-c3SQYh_oxts?ext=png
3WBn3ixdCThkxGkSaHQhMVmZ6QiCjyQ6UxNViEexk1eY,4g8yfqkdA34brZUQtSo8g4DmmSsKNh3SA6F2EKDhPJKp,"ExiledApe 451/518",https://arweave.net/2u5j61D57dKG3TOh68MummLJVGEhiqazdg5P62oi6TQ,7842,https://www.arweave.net/9PCgHpZLKZKs6F_6t_T9PhKiCh7-LAmw6jUp7D4Qawo?ext=png
3WXCBKrSVx3Udbmq3NxWL4rjaUewURhB69yvNCDk7TFF,6DPjQ877reXwyp4Ww8gDJ64PNwbgAND3Ds6FAVhqwsfa,"ExiledApe 125/518",https://arweave.net/sFab5U9BAs52NGYOC3SzoFFDXANPNw4oTOP8bXKIZGU,5628,https://www.arweave.net/zr5eRI69HmBBys0i8A-Uo4NNYe4IL6BEUEcPv_1pQmk?ext=png
3asphb7jUMDoYyvD93ehkYXc8J2yf4M1T2cGrDJQs4hi,9yziUVhj5uTqyUAaPYWx52SWpi7VjGfae6STE49qib6p,"ExiledApe 234/518",https://arweave.net/001gyGFfPu0Hadza0pbnPQ5LNiXF-Wv9Ug8pE4OnEn0,9416,https://www.arweave.net/dDklV47r9x8s_iuGsCGnMvdr6BCM-eVEfC9XkGhSeYM?ext=png
3dxEBnYCPx3FtY7ajf7pMM1ei3MMS8FdidASx9aZsHko,CpYu8R1hjNNpio4hWC2WtinTpQTJ9uiHm2HcQFJsRi8R,"ExiledApe 484/518",https://arweave.net/xNS6bHAsZXH6IRDfFR01VLf8zt85P2M-M0orb70BJFs,6579,https://www.arweave.net/5Wa-h1yH2xLzoNS3JjXCZyEkKqf_YVBOSG8zHBcxBgQ?ext=png
3eGyX8g3HAGxeqxTctm488AmVvQH3Q1wyVhuuCd3toHV,rkZDjyvhUJu1eZBm9mUcy9113ytEDPF15ZHQdu2TSZt,"ExiledApe 370/518",https://arweave.net/6wghPRKUn6jNlu-P41G1pbSDXOmgz3M72tLnZtIfHzM,5612,https://www.arweave.net/DQlNBgLKR_2M2QKuzAmblLHJDf83cTqHlgkkfe_saj4?ext=png
3f8StTAu3dUoYZhFQt6YXxTQtbxj2W5vXMdf6MRUDhZ8,EaLTJuQABEtEyvVXQJaq7mCmLCkrWD1F4sBfjAgQX9W5,"ExiledApe 367/518",https://arweave.net/p15YVnwGXQRzcB4I2Gr_VNnSqrBkaAuc9CUSJtYCyKU,9922,https://www.arweave.net/l3CBqyKtdunHyVgTGMyJ8jOrsNTnH9HfO_fu5jhrxpM?ext=png
3gU9SdZk1nq6ovWEihxsnCBQNGFFV61PxxJXJKGmFRzP,GCeYBrJV3JaSWFCgqxSNyNFV9mf2nBzgYU8VfCWdcaAw,"ExiledApe 83/518",https://arweave.net/mS8xuXNQKL4WP9UOa4DRbKE7BEGVdORxGvTPJdML-9A,9195,https://www.arweave.net/OBcqC-7qLDNId6DIJbzICsen8PD0e5iMtm9d7vimfSo?ext=png
3op2uwXbML7hZE4GhyW3UbJUmu5rnQKw4YTmV6kXgzpF,8hgtfiTrQ3ksHYDQGxWg8sFLwE6K2b4ac8EkF4psD7yS,"ExiledApe 356/518",https://arweave.net/KSgyodX0iwEyAMo9v32WYesUK71pWvXI00piASpR_yw,2530,https://www.arweave.net/mqPE0YXJR11nkObvqmqkeBIR_l1kpNWl-U9ib-GPenM?ext=png
3qLvRjaY1tbmLL2yMqD2yL6qdu4B8ke9WEsk1fC8776A,GxboHi8hoHpTJ5mnsuwcEkBV9etgDDtBzfur8NRQTZNb,"ExiledApe 267/518",https://arweave.net/aXuvD8Cc5dpIF-hVywrqjaFk8s2owIcT68cIEdySU8k,9387,https://www.arweave.net/rcRc4Oc_I1VcDGB7yOGnfffYq6Ou2_efkdvztlNs5ys?ext=png
